lw_pnd,ppl,happyfc,imbgeco,cntgrp_fc,lr4d,rel3fc,pplhlp,pplfair,ppltrst,stfdem,stfeco,stfgov,imwbcnt,imbgeco,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,polintr
2.0,2.0,1,5.0,0,1,0,2.0,3.0,1.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,3.0,1.0,0.0,1.0,7.0,2.0
2.0,6.333333333333333,1,5.0,0,3,0,5.0,7.0,7.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,6.0,1.0
2.0,4.666666666666667,1,4.0,0,1,2,5.0,4.0,5.0,7.0,6.0,7.0,4.0,4.0,6.0,9.0,8.0,6.0,8.0,6.0,7.0,3.0
1.0,5.0,2,6.0,0,1,2,4.0,6.0,5.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,8.0,5.0,4.0,5.0,7.0,3.0
1.0,7.0,2,3.0,0,2,2,6.0,7.0,8.0,7.0,7.0,6.0,5.0,3.0,9.0,8.0,7.0,6.0,8.0,5.0,7.0,3.0
1.0,6.333333333333333,2,7.0,0,3,0,4.0,8.0,7.0,2.0,9.0,3.0,6.0,7.0,0.0,0.0,8.0,0.0,1.0,5.0,8.0,4.0
1.0,4.0,2,3.0,0,3,2,2.0,6.0,4.0,6.0,3.0,7.0,5.0,3.0,5.0,7.0,7.0,4.0,6.0,5.0,6.0,2.0
3.0,6.0,2,1.0,0,3,2,8.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,8.0,5.0,5.0,5.0,8.0,3.0
2.0,5.333333333333333,1,6.0,0,1,0,4.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,4.0,3.0,7.0,3.0,5.0,3.0,9.0,4.0
1.0,5.333333333333333,1,7.0,0,2,0,5.0,6.0,5.0,7.0,5.0,5.0,6.0,7.0,6.0,5.0,5.0,4.0,6.0,4.0,8.0,2.0
1.0,6.333333333333333,1,4.0,0,1,1,5.0,8.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,5.0,5.0,9.0,2.0
2.0,7.666666666666667,2,7.0,0,0,2,7.0,8.0,8.0,8.0,7.0,5.0,6.0,7.0,9.0,9.0,7.0,7.0,9.0,6.0,8.0,1.0
2.0,7.0,2,5.0,0,3,1,5.0,9.0,7.0,1.0,7.0,2.0,5.0,5.0,2.0,6.0,8.0,7.0,4.0,3.0,8.0,1.0
2.0,5.666666666666667,1,6.0,0,3,1,5.0,6.0,6.0,3.0,7.0,6.0,5.0,6.0,7.0,4.0,7.0,5.0,6.0,5.0,8.0,2.0
2.0,6.666666666666667,1,7.0,0,0,0,7.0,7.0,6.0,8.0,7.0,6.0,5.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,9.0,2.0
2.0,5.0,2,5.0,0,1,0,5.0,7.0,3.0,6.0,7.0,7.0,5.0,5.0,7.0,7.0,8.0,6.0,6.0,5.0,5.0,2.0
2.0,7.333333333333333,1,7.0,0,1,0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,4.0,6.0,4.0,8.0,1.0
3.0,5.333333333333333,1,5.0,0,1,0,4.0,7.0,5.0,4.0,6.0,5.0,2.0,5.0,5.0,8.0,8.0,2.0,5.0,2.0,9.0,2.0
2.0,6.0,1,4.0,0,3,0,7.0,5.0,6.0,4.0,6.0,5.0,4.0,4.0,6.0,4.0,6.0,4.0,2.0,5.0,9.0,4.0
3.0,2.6666666666666665,1,0.0,0,2,2,4.0,4.0,0.0,7.0,3.0,4.0,0.0,0.0,5.0,0.0,5.0,5.0,7.0,5.0,10.0,3.0
3.0,7.333333333333333,1,6.0,0,1,2,7.0,8.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,2.0
1.0,5.0,2,10.0,0,0,2,3.0,7.0,5.0,7.0,6.0,6.0,5.0,10.0,5.0,8.0,8.0,5.0,6.0,5.0,8.0,4.0
2.0,4.0,1,4.0,0,2,2,3.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,1.0,1.0,7.0,1.0,3.0,2.0
1.0,5.666666666666667,1,5.0,0,2,1,6.0,6.0,5.0,7.0,7.0,6.0,5.0,5.0,6.0,5.0,8.0,5.0,5.0,4.0,7.0,3.0
2.0,6.333333333333333,1,6.0,0,2,2,6.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0,6.0,6.0,3.0
2.0,6.0,1,7.0,0,0,0,8.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,8.0,9.0,2.0,6.0,2.0,8.0,3.0
2.0,1.0,0,10.0,0,0,0,1.0,1.0,1.0,5.0,5.0,5.0,10.0,10.0,1.0,2.0,1.0,1.0,1.0,5.0,8.0,2.0
2.0,5.333333333333333,1,7.0,0,2,0,4.0,5.0,7.0,8.0,6.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0
1.0,5.0,1,6.0,0,1,0,6.0,4.0,5.0,3.0,2.0,4.0,4.0,6.0,4.0,4.0,6.0,4.0,3.0,4.0,6.0,3.0
2.0,5.666666666666667,1,5.0,0,2,1,7.0,5.0,5.0,5.0,7.0,4.0,3.0,5.0,6.0,6.0,6.0,3.0,4.0,5.0,7.0,2.0
1.0,5.333333333333333,2,6.0,0,1,0,4.0,7.0,5.0,4.0,4.0,2.0,5.0,6.0,6.0,4.0,3.0,4.0,7.0,5.0,0.0,2.0
4.0,6.666666666666667,1,6.0,0,2,2,7.0,7.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,7.0,8.0,5.0,6.0,5.0,6.0,3.0
3.0,5.0,1,5.0,0,2,0,5.0,6.0,4.0,8.0,6.0,6.0,5.0,5.0,6.0,3.0,8.0,4.0,6.0,6.0,9.0,3.0
3.0,6.0,2,8.0,0,2,2,5.0,6.0,7.0,4.0,4.0,6.0,7.0,8.0,6.0,6.0,6.0,4.0,7.0,5.0,8.0,1.0
2.0,6.333333333333333,1,3.0,0,3,1,6.0,7.0,6.0,4.0,6.0,4.0,3.0,3.0,4.0,4.0,7.0,3.0,2.0,3.0,8.0,3.0
4.0,5.0,1,4.0,0,1,2,6.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,7.0,2.0
3.0,7.0,1,3.0,0,1,0,5.0,8.0,8.0,2.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,0.0,3.0,0.0,6.0,2.0
2.0,6.333333333333333,2,3.0,0,3,2,7.0,6.0,6.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0
2.0,6.0,2,8.0,0,2,0,3.0,8.0,7.0,6.0,7.0,8.0,5.0,8.0,5.0,5.0,5.0,1.0,8.0,0.0,8.0,2.0
3.0,7.333333333333333,2,4.0,0,2,1,9.0,6.0,7.0,5.0,6.0,6.0,3.0,4.0,9.0,6.0,5.0,5.0,9.0,7.0,8.0,4.0
3.0,5.333333333333333,1,7.0,0,1,0,5.0,6.0,5.0,5.0,6.0,4.0,5.0,7.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0
1.0,3.0,1,0.0,0,2,1,3.0,3.0,3.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,8.0,4.0,3.0,4.0,9.0,3.0
1.0,3.0,1,6.0,0,0,2,1.0,4.0,4.0,8.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,3.0,6.0,5.0,7.0,3.0
2.0,5.0,1,6.0,0,2,0,6.0,6.0,3.0,5.0,4.0,4.0,5.0,6.0,2.0,6.0,7.0,2.0,7.0,2.0,8.0,3.0
1.0,5.333333333333333,0,2.0,0,2,0,4.0,7.0,5.0,3.0,6.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,10.0,3.0
1.0,5.666666666666667,1,10.0,0,0,1,5.0,5.0,7.0,10.0,3.0,0.0,7.0,10.0,7.0,10.0,5.0,0.0,0.0,5.0,8.0,3.0
1.0,6.0,1,5.0,0,1,1,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,8.0,3.0
4.0,4.666666666666667,1,5.0,0,1,1,4.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,7.0,2.0
4.0,3.0,2,5.0,0,0,1,2.0,5.0,2.0,6.0,8.0,7.0,4.0,5.0,5.0,4.0,6.0,2.0,5.0,2.0,7.0,3.0
2.0,2.333333333333333,1,3.0,0,3,1,0.0,5.0,2.0,5.0,3.0,0.0,3.0,3.0,4.0,4.0,7.0,3.0,0.0,3.0,2.0,4.0
3.0,4.666666666666667,1,6.0,0,2,1,2.0,6.0,6.0,7.0,8.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,5.0,6.0,10.0,3.0
1.0,6.666666666666667,2,8.0,0,0,2,5.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,6.0,6.0,10.0,5.0,3.0,4.0,9.0,2.0
2.0,5.333333333333333,1,7.0,0,3,0,6.0,4.0,6.0,3.0,6.0,3.0,3.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,8.0,3.0
1.0,6.333333333333333,1,5.0,0,1,1,8.0,6.0,5.0,5.0,2.0,0.0,6.0,5.0,6.0,7.0,8.0,2.0,6.0,5.0,8.0,2.0
1.0,4.666666666666667,2,6.0,0,2,2,2.0,7.0,5.0,6.0,3.0,6.0,5.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,6.0,3.0
2.0,6.333333333333333,1,8.0,0,2,1,6.0,6.0,7.0,7.0,6.0,6.0,5.0,8.0,3.0,7.0,7.0,5.0,6.0,5.0,6.0,2.0
2.0,5.333333333333333,1,6.0,0,0,2,6.0,5.0,5.0,4.0,3.0,2.0,6.0,6.0,3.0,2.0,7.0,1.0,3.0,2.0,7.0,4.0
2.0,5.666666666666667,0,7.0,0,2,2,6.0,5.0,6.0,5.0,5.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,3.0
2.0,6.333333333333333,1,5.0,0,2,2,7.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,8.0,2.0
2.0,6.666666666666667,1,4.0,0,2,1,5.0,9.0,6.0,10.0,8.0,9.0,5.0,4.0,8.0,10.0,10.0,8.0,10.0,9.0,7.0,1.0
2.0,5.333333333333333,2,7.0,0,1,1,4.0,7.0,5.0,3.0,4.0,3.0,6.0,7.0,5.0,3.0,4.0,3.0,3.0,3.0,10.0,2.0
3.0,7.0,0,5.0,0,0,2,7.0,7.0,7.0,3.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,0.0,0.0,3.0,7.0,2.0
2.0,7.0,1,6.0,0,3,2,7.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,5.0,3.0,6.0,3.0,3.0,3.0,8.0,2.0
2.0,4.0,1,2.0,0,2,2,2.0,5.0,5.0,6.0,7.0,7.0,2.0,2.0,7.0,6.0,7.0,6.0,7.0,6.0,7.0,3.0
2.0,7.0,1,5.0,0,0,0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,5.0,4.0,6.0,7.0,7.0,7.0,6.0,8.0,1.0
2.0,6.666666666666667,2,7.0,0,0,2,7.0,7.0,6.0,2.0,5.0,0.0,4.0,7.0,0.0,2.0,7.0,3.0,4.0,3.0,9.0,3.0
1.0,4.333333333333333,1,6.0,0,1,2,3.0,5.0,5.0,6.0,6.0,7.0,5.0,6.0,4.0,5.0,8.0,5.0,7.0,5.0,9.0,2.0
2.0,6.0,1,5.0,0,1,1,7.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,8.0,7.0,8.0,5.0,8.0,5.0,9.0,2.0
2.0,4.333333333333333,1,7.0,0,2,0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,7.0,4.0,8.0,8.0,4.0,5.0,4.0,8.0,1.0
1.0,5.333333333333333,1,5.0,0,2,2,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,8.0,6.0,8.0,5.0,6.0,7.0,4.0,2.0
1.0,5.0,1,5.0,0,2,1,5.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,4.0,9.0,3.0
2.0,4.666666666666667,0,7.0,0,1,1,4.0,7.0,3.0,2.0,1.0,1.0,5.0,7.0,8.0,5.0,5.0,4.0,7.0,8.0,4.0,2.0
1.0,4.666666666666667,1,5.0,0,1,1,2.0,7.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,8.0,2.0
2.0,4.0,1,5.0,0,3,0,4.0,4.0,4.0,2.0,2.0,0.0,5.0,5.0,0.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0
1.0,5.333333333333333,1,6.0,0,1,0,3.0,7.0,6.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,8.0,2.0
2.0,2.0,1,3.0,0,2,0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,6.0,2.0,0.0,1.0,8.0,3.0
1.0,5.666666666666667,1,4.0,0,2,2,5.0,6.0,6.0,6.0,5.0,4.0,3.0,4.0,5.0,7.0,7.0,5.0,6.0,5.0,7.0,2.0
2.0,4.0,1,5.0,0,1,2,3.0,6.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,2.0,7.0,2.0
2.0,3.333333333333333,0,3.0,0,2,1,7.0,0.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,7.0,5.0,5.0,5.0,8.0,4.0
2.0,5.0,1,6.0,0,3,0,1.0,9.0,5.0,0.0,2.0,6.0,2.0,6.0,0.0,2.0,7.0,1.0,3.0,5.0,3.0,2.0
3.0,3.6666666666666665,1,5.0,0,1,1,5.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,3.0,4.0,6.0,5.0,6.0,9.0,3.0
1.0,4.0,2,5.0,0,2,1,3.0,5.0,4.0,9.0,7.0,7.0,5.0,5.0,3.0,6.0,8.0,5.0,3.0,3.0,7.0,3.0
1.0,8.0,2,8.0,0,2,2,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,5.0,7.0,2.0
4.0,6.333333333333333,2,6.0,0,1,0,5.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,8.0,7.0,7.0,7.0,8.0,6.0,9.0,2.0
1.0,4.666666666666667,2,3.0,0,2,2,2.0,6.0,6.0,6.0,9.0,6.0,3.0,3.0,7.0,7.0,8.0,7.0,7.0,5.0,9.0,3.0
5.0,6.0,1,7.0,0,3,2,4.0,6.0,8.0,5.0,7.0,5.0,7.0,7.0,5.0,5.0,8.0,6.0,6.0,5.0,6.0,2.0
2.0,0.3333333333333333,0,2.0,0,2,2,1.0,0.0,0.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,8.0,4.0
1.0,3.6666666666666665,2,2.0,0,0,0,1.0,8.0,2.0,5.0,5.0,8.0,1.0,2.0,5.0,3.0,5.0,2.0,4.0,2.0,9.0,2.0
4.0,6.0,0,5.0,0,2,1,5.0,8.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,6.0,7.0,5.0,5.0,6.0,8.0,4.0
2.0,2.6666666666666665,1,0.0,0,3,0,2.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,8.0,4.0
2.0,4.666666666666667,1,3.0,0,1,0,2.0,5.0,7.0,5.0,7.0,7.0,3.0,3.0,4.0,6.0,5.0,5.0,6.0,5.0,10.0,2.0
1.0,5.666666666666667,2,6.0,0,2,2,6.0,6.0,5.0,6.0,2.0,3.0,4.0,6.0,5.0,0.0,7.0,5.0,2.0,5.0,6.0,3.0
1.0,4.333333333333333,1,6.0,0,2,0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,6.0,3.0,3.0,6.0,3.0,3.0,3.0,7.0,3.0
3.0,6.666666666666667,1,5.0,0,0,1,6.0,7.0,7.0,5.0,6.0,4.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,2.0
2.0,4.666666666666667,1,5.0,0,0,2,5.0,6.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,9.0,3.0
2.0,6.333333333333333,1,5.0,0,1,0,3.0,8.0,8.0,7.0,8.0,5.0,5.0,5.0,8.0,7.0,6.0,6.0,7.0,7.0,6.0,1.0
2.0,3.333333333333333,2,3.0,0,2,2,3.0,6.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,3.0,0.0,0.0,7.0,2.0
1.0,4.0,1,5.0,0,2,1,1.0,5.0,6.0,9.0,6.0,6.0,9.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,4.0,4.0
1.0,6.0,1,3.0,0,2,0,7.0,7.0,4.0,7.0,6.0,7.0,3.0,3.0,5.0,1.0,9.0,6.0,9.0,2.0,7.0,2.0
1.0,6.666666666666667,2,7.0,0,1,2,7.0,7.0,6.0,5.0,7.0,8.0,6.0,7.0,5.0,5.0,8.0,5.0,5.0,5.0,7.0,1.0
1.0,2.333333333333333,1,0.0,0,3,0,1.0,2.0,4.0,7.0,4.0,5.0,2.0,0.0,5.0,6.0,6.0,2.0,1.0,5.0,8.0,4.0
2.0,4.0,0,2.0,0,1,0,10.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,8.0,2.0
1.0,5.0,1,4.0,0,3,1,5.0,6.0,4.0,8.0,7.0,7.0,5.0,4.0,8.0,8.0,8.0,6.0,8.0,6.0,8.0,3.0
1.0,6.333333333333333,1,2.0,0,3,2,4.0,7.0,8.0,8.0,7.0,5.0,10.0,2.0,10.0,6.0,10.0,7.0,9.0,8.0,6.0,2.0
4.0,5.666666666666667,1,8.0,0,3,1,6.0,6.0,5.0,5.0,4.0,4.0,4.0,8.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,3.0
1.0,7.0,2,7.0,0,1,0,7.0,7.0,7.0,5.0,7.0,3.0,5.0,7.0,4.0,8.0,10.0,2.0,6.0,3.0,8.0,2.0
3.0,4.333333333333333,1,7.0,0,0,1,3.0,5.0,5.0,8.0,5.0,6.0,7.0,7.0,5.0,7.0,7.0,4.0,5.0,4.0,7.0,3.0
3.0,5.333333333333333,1,6.0,0,3,1,5.0,4.0,7.0,4.0,7.0,2.0,6.0,6.0,4.0,3.0,1.0,4.0,2.0,4.0,9.0,3.0
4.0,6.666666666666667,1,10.0,0,0,0,6.0,7.0,7.0,8.0,7.0,7.0,6.0,10.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,2.0
4.0,6.333333333333333,1,5.0,0,2,0,5.0,8.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,9.0,9.0,7.0,6.0,7.0,9.0,4.0
2.0,1.6666666666666667,1,1.0,0,1,2,0.0,1.0,4.0,6.0,6.0,4.0,3.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,8.0,4.0
2.0,3.333333333333333,0,6.0,0,0,2,3.0,2.0,5.0,6.0,3.0,4.0,5.0,6.0,1.0,4.0,0.0,0.0,5.0,0.0,5.0,3.0
2.0,4.0,1,5.0,0,2,0,2.0,5.0,5.0,7.0,3.0,4.0,5.0,5.0,2.0,7.0,5.0,4.0,3.0,4.0,8.0,3.0
1.0,6.666666666666667,1,4.0,0,2,0,7.0,6.0,7.0,7.0,7.0,5.0,5.0,4.0,7.0,6.0,7.0,6.0,6.0,6.0,8.0,3.0
4.0,0.0,2,5.0,0,0,1,0.0,0.0,0.0,7.0,8.0,6.0,3.0,5.0,0.0,8.0,8.0,0.0,7.0,0.0,9.0,3.0
1.0,2.6666666666666665,2,6.0,0,1,2,3.0,3.0,2.0,6.0,6.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,3.0,3.0,7.0,2.0
3.0,5.666666666666667,1,4.0,0,2,2,3.0,7.0,7.0,3.0,7.0,3.0,3.0,4.0,0.0,5.0,8.0,0.0,2.0,1.0,8.0,1.0
2.0,3.0,1,0.0,0,2,1,0.0,4.0,5.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,4.0,8.0,2.0
1.0,5.0,1,4.0,0,1,2,3.0,7.0,5.0,4.0,5.0,1.0,5.0,4.0,2.0,6.0,5.0,7.0,6.0,7.0,4.0,3.0
3.0,5.333333333333333,1,3.0,0,1,1,5.0,6.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,9.0,6.0,6.0,5.0,8.0,2.0
2.0,4.333333333333333,2,5.0,0,1,2,5.0,5.0,3.0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,7.0,2.0
3.0,4.666666666666667,1,5.0,0,1,2,3.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,7.0,3.0,6.0,3.0,8.0,3.0
2.0,7.0,1,5.0,0,0,0,6.0,8.0,7.0,5.0,2.0,2.0,8.0,5.0,3.0,8.0,8.0,2.0,3.0,2.0,6.0,3.0
1.0,4.333333333333333,2,5.0,0,2,0,3.0,5.0,5.0,4.0,7.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,2.0,1.0,8.0,2.0
1.0,7.0,1,4.0,0,3,0,6.0,8.0,7.0,4.0,4.0,2.0,6.0,4.0,6.0,7.0,7.0,2.0,1.0,2.0,9.0,4.0
1.0,3.6666666666666665,1,8.0,0,0,1,5.0,3.0,3.0,8.0,6.0,6.0,8.0,8.0,5.0,8.0,5.0,7.0,8.0,5.0,8.0,1.0
2.0,5.0,1,6.0,0,1,2,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,7.0,2.0,1.0,4.0,4.0,4.0,8.0,3.0
1.0,3.333333333333333,1,7.0,0,1,1,3.0,4.0,3.0,4.0,4.0,6.0,5.0,7.0,5.0,7.0,9.0,5.0,5.0,3.0,8.0,3.0
1.0,5.0,1,5.0,0,2,0,5.0,6.0,4.0,2.0,6.0,6.0,5.0,5.0,2.0,5.0,4.0,2.0,3.0,0.0,8.0,2.0
1.0,6.666666666666667,1,5.0,0,1,0,6.0,7.0,7.0,4.0,6.0,6.0,4.0,5.0,7.0,4.0,6.0,6.0,6.0,6.0,8.0,2.0
1.0,5.666666666666667,1,4.0,0,1,1,5.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,7.0,7.0,3.0
1.0,6.666666666666667,1,4.0,0,3,2,8.0,5.0,7.0,6.0,8.0,7.0,4.0,4.0,6.0,7.0,8.0,5.0,7.0,6.0,8.0,3.0
1.0,5.666666666666667,1,2.0,0,2,0,7.0,5.0,5.0,0.0,0.0,5.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,7.0,4.0
2.0,6.333333333333333,0,6.0,0,3,0,4.0,8.0,7.0,4.0,7.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,4.0,3.0,5.0,2.0
2.0,5.0,1,3.0,0,3,2,7.0,5.0,3.0,6.0,6.0,7.0,5.0,3.0,6.0,6.0,6.0,6.0,7.0,6.0,1.0,3.0
4.0,5.333333333333333,2,5.0,0,2,1,7.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,7.0,6.0,4.0,5.0,6.0,6.0,10.0,3.0
2.0,6.0,2,10.0,0,0,0,5.0,8.0,5.0,3.0,3.0,2.0,10.0,10.0,4.0,5.0,5.0,2.0,4.0,3.0,6.0,3.0
1.0,1.6666666666666667,1,2.0,0,2,2,2.0,2.0,1.0,0.0,4.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,2.0,1.0,9.0,4.0
3.0,5.333333333333333,1,5.0,0,2,2,4.0,7.0,5.0,6.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,6.0,3.0
2.0,6.0,1,5.0,0,0,2,6.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,8.0,5.0,2.0,5.0,9.0,3.0
3.0,3.333333333333333,1,4.0,0,3,2,2.0,5.0,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,6.0,2.0,2.0,2.0,6.0,4.0
2.0,6.666666666666667,1,3.0,0,3,2,5.0,10.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,8.0,8.0,5.0,5.0,5.0,6.0,4.0
2.0,4.333333333333333,1,7.0,0,1,1,3.0,5.0,5.0,3.0,3.0,5.0,6.0,7.0,7.0,5.0,4.0,2.0,7.0,0.0,8.0,1.0
2.0,7.666666666666667,2,5.0,0,0,0,5.0,9.0,9.0,6.0,3.0,1.0,5.0,5.0,7.0,6.0,7.0,7.0,6.0,6.0,5.0,3.0
2.0,6.333333333333333,1,5.0,0,1,1,5.0,8.0,6.0,4.0,4.0,2.0,5.0,5.0,4.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0
4.0,4.333333333333333,1,7.0,0,1,2,2.0,6.0,5.0,7.0,4.0,7.0,6.0,7.0,6.0,6.0,5.0,2.0,7.0,5.0,8.0,2.0
4.0,6.666666666666667,1,5.0,0,1,1,7.0,7.0,6.0,7.0,7.0,6.0,4.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0,2.0
3.0,4.333333333333333,2,3.0,0,3,0,3.0,4.0,6.0,5.0,3.0,5.0,2.0,3.0,5.0,6.0,6.0,4.0,5.0,4.0,8.0,3.0
2.0,5.333333333333333,1,6.0,0,3,2,2.0,7.0,7.0,8.0,6.0,10.0,10.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,2.0
1.0,4.666666666666667,1,3.0,0,2,0,4.0,5.0,5.0,2.0,0.0,0.0,3.0,3.0,3.0,7.0,7.0,3.0,3.0,3.0,6.0,3.0
2.0,7.0,2,10.0,0,0,0,7.0,6.0,8.0,7.0,0.0,5.0,8.0,10.0,5.0,7.0,6.0,7.0,6.0,7.0,10.0,1.0
1.0,6.666666666666667,1,4.0,0,1,0,5.0,8.0,7.0,6.0,7.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,0.0,3.0
1.0,6.0,1,6.0,0,0,0,5.0,7.0,6.0,5.0,4.0,4.0,5.0,6.0,7.0,3.0,2.0,4.0,6.0,5.0,10.0,2.0
1.0,4.0,1,2.0,0,1,2,7.0,4.0,1.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,5.0,3.0,3.0
1.0,6.333333333333333,1,6.0,0,3,2,5.0,6.0,8.0,8.0,8.0,7.0,4.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,8.0,2.0
1.0,5.333333333333333,2,0.0,0,3,2,7.0,4.0,5.0,4.0,3.0,7.0,2.0,0.0,8.0,7.0,2.0,3.0,2.0,1.0,5.0,2.0
2.0,4.666666666666667,0,3.0,0,1,1,2.0,8.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,8.0,4.0
2.0,7.666666666666667,2,3.0,0,2,0,7.0,8.0,8.0,7.0,6.0,6.0,5.0,3.0,3.0,8.0,7.0,3.0,4.0,5.0,7.0,3.0
2.0,4.333333333333333,1,8.0,0,3,0,5.0,4.0,4.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,6.0,6.0,0.0,6.0,9.0,4.0
1.0,4.333333333333333,1,3.0,0,2,2,5.0,5.0,3.0,8.0,4.0,4.0,4.0,3.0,0.0,3.0,5.0,0.0,5.0,3.0,8.0,1.0
